player_id,player_name,team_code,contestant_id,Team Formation,Team Player Formation,Jersey Number,matches,pp_z1,pp_z2,pp_z3,pp_z4,pp_z5,pp_z6,pp_z7,pp_z8,pp_z9,pp_z10,pp_z11,pp_z12,pp_z13,pp_z14,pp_z15,pp_z16,pp_z17,pp_z18,cross_ttl_z10,cross_ttl_z12,cross_ttl_z13,cross_ttl_z15,cross_ttl_z16,cross_ttl_z18,cross_suc_z10,cross_suc_z12,cross_suc_z13,cross_suc_z15,cross_suc_z16,cross_suc_z18,to_ttl_z10,to_ttl_z11,to_ttl_z12,to_ttl_z13,to_ttl_z14,to_ttl_z15,to_ttl_z16,to_ttl_z17,to_ttl_z18,to_suc_z10,to_suc_z11,to_suc_z12,to_suc_z13,to_suc_z14,to_suc_z15,to_suc_z16,to_suc_z17,to_suc_z18,shot_z10,shot_z11,shot_z12,shot_z13,shot_z14,shot_z15,shot_z16,shot_z17,shot_z18,goal_z10,goal_z11,goal_z12,goal_z13,goal_z14,goal_z15,goal_z16,goal_z17,goal_z18,tackle_ttl_z1,tackle_ttl_z2,tackle_ttl_z3,tackle_ttl_z4,tackle_ttl_z5,tackle_ttl_z6,tackle_ttl_z7,tackle_ttl_z8,tackle_ttl_z9,tackle_ttl_z10,tackle_ttl_z11,tackle_ttl_z12,tackle_ttl_z13,tackle_ttl_z14,tackle_ttl_z15,tackle_ttl_z16,tackle_ttl_z17,tackle_ttl_z18,tackle_suc_z1,tackle_suc_z2,tackle_suc_z3,tackle_suc_z4,tackle_suc_z5,tackle_suc_z6,tackle_suc_z7,tackle_suc_z8,tackle_suc_z9,tackle_suc_z10,tackle_suc_z11,tackle_suc_z12,tackle_suc_z13,tackle_suc_z14,tackle_suc_z15,tackle_suc_z16,tackle_suc_z17,tackle_suc_z18,int_z1,int_z2,int_z3,int_z4,int_z5,int_z6,int_z7,int_z8,int_z9,int_z10,int_z11,int_z12,int_z13,int_z14,int_z15,int_z16,int_z17,int_z18,chall_z1,chall_z2,chall_z3,chall_z4,chall_z5,chall_z6,chall_z7,chall_z8,chall_z9,chall_z10,chall_z11,chall_z12,chall_z13,chall_z14,chall_z15,chall_z16,chall_z17,chall_z18,disp_z1,disp_z2,disp_z3,disp_z4,disp_z5,disp_z6,disp_z7,disp_z8,disp_z9,disp_z10,disp_z11,disp_z12,disp_z13,disp_z14,disp_z15,disp_z16,disp_z17,disp_z18,recovery_z1,recovery_z2,recovery_z3,recovery_z4,recovery_z5,recovery_z6,recovery_z7,recovery_z8,recovery_z9,recovery_z10,recovery_z11,recovery_z12,recovery_z13,recovery_z14,recovery_z15,recovery_z16,recovery_z17,recovery_z18,aerial_ttl_z2,aerial_ttl_z17,aerial_suc_z2,aerial_suc_z17,team_name
albt55j4oir1veynmos532psk,S. Mouriño,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,2.0,15.0,28,0,4,21,0,3,97,0,13,85,0,7,51,0,1,16,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,4,2,0,7,1,0,0,0,0,0,0,0,1,0,0,2,31,0,1,30,0,0,22,0,0,9,0,0,3,0,0,0,0,1,23,0,1,18,0,0,14,0,0,6,0,0,2,0,0,0,0,0,6,0,0,10,0,1,7,0,0,3,0,0,1,0,0,0,0,0,21,0,2,19,0,0,6,0,0,5,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,30,2,4,47,1,2,30,0,1,9,0,0,5,0,0,0,25,3,16,1,Villarreal CF
1j75xt37w8q04ixbyjwhtfh05,Aarón Escandell,OVI,clo928vcczjp0mczavs5o7p5k,8,1.0,13.0,28,10,208,11,10,34,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,7,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Real Oviedo
7kyxr0ntcthtbohvozw93v52i,H. Hassan,OVI,clo928vcczjp0mczavs5o7p5k,8,7.0,10.0,28,0,0,1,0,0,0,0,5,9,0,1,15,0,1,8,0,0,1,0,0,0,19,10,52,0,0,0,5,4,8,0,0,24,2,0,34,2,0,32,0,0,10,0,0,15,1,0,11,0,0,0,1,5,4,1,9,5,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5,0,0,6,0,2,5,0,0,1,0,0,1,0,0,6,0,1,4,0,0,4,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,3,1,0,5,0,0,4,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,2,0,1,3,0,1,5,0,2,9,0,1,11,0,2,9,0,1,8,0,0,3,0,0,0,0,Real Oviedo
6wplm29z7qxxmujyc2ml19gix,I. Radu,CEL,6f27yvbqcngegwsg2ozxxdj4,13,1.0,13.0,28,3,137,4,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,7,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Real Club Celta de Vigo
6ddxujeb3873j5evwiz8n4wt0,Luíz Júnior,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,1.0,1.0,28,4,169,4,2,26,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,8,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,Villarreal CF
dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,ATH,3czravw89omgc9o4s0w3l1bg5,8,10.0,8.0,27,0,0,0,1,0,0,7,3,3,5,9,4,5,9,4,0,0,0,0,0,2,6,2,10,0,0,0,2,1,1,5,1,4,3,3,3,2,0,2,2,0,3,1,2,1,1,0,2,0,0,0,0,8,0,2,31,3,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,2,0,2,3,1,2,4,2,2,1,1,0,0,0,0,0,2,1,0,0,1,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,1,0,0,0,0,1,0,2,2,1,5,5,1,6,4,0,0,1,2,0,0,1,3,4,4,6,7,5,10,5,4,6,4,2,0,1,2,0,7,0,3,Athletic Club
8bvn7mn5tjfj3l2bnpvm75gmi,G. Mikautadze,VIL,74mcjsm72vr3l9pw2i4qfjchj,2,9.0,9.0,27,0,0,0,0,0,0,3,5,1,1,1,2,1,9,2,0,0,0,0,0,2,2,6,0,0,0,0,1,1,0,3,2,3,11,6,6,9,9,2,1,0,0,3,3,2,5,6,0,0,1,0,1,5,0,8,40,1,0,0,0,0,1,0,1,10,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,3,1,2,8,2,3,2,1,0,1,4,0,0,0,0,4,5,0,5,4,1,1,2,3,4,2,1,1,0,0,0,1,0,1,Villarreal CF
v22q59d00b5v78rgx7v8z3vu,Antony,BET,ah8dala7suqqkj04n2l8xz4zd,8,7.0,7.0,26,0,0,1,0,0,7,1,2,21,0,2,24,3,4,48,3,0,7,0,0,3,22,4,14,0,0,0,8,1,2,0,1,17,0,1,18,1,0,12,0,1,6,0,1,7,0,0,5,0,0,0,0,19,14,1,24,12,0,0,0,0,3,1,0,2,0,0,0,2,0,1,9,0,2,4,0,3,4,0,1,3,0,0,1,0,0,2,0,1,3,0,2,1,0,2,3,0,1,2,0,0,1,0,0,0,0,1,4,0,2,4,0,0,2,0,1,3,0,0,0,0,0,2,1,0,3,0,1,2,0,1,3,0,1,1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,4,0,2,4,1,0,1,0,1,7,3,2,13,1,4,23,0,4,19,0,4,7,0,0,3,0,2,0,1,Real Betis Balompié
ck7lu09geq8mi6vkf2llyi5ii,Mikel Jauregizar,ATH,3czravw89omgc9o4s0w3l1bg5,8,4.0,18.0,26,0,2,0,10,7,3,15,26,6,19,17,10,11,4,5,1,0,0,1,0,8,10,6,4,0,0,0,2,0,1,1,0,5,5,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,20,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,1,4,2,4,3,5,7,2,4,6,1,0,0,0,1,1,0,0,1,0,0,3,2,4,4,1,4,4,1,0,0,0,1,0,0,1,1,3,1,2,2,2,8,3,3,4,1,2,0,0,0,0,0,0,2,3,5,2,3,0,4,3,2,1,1,1,0,0,0,0,0,0,2,0,0,1,3,0,2,1,0,1,1,2,1,0,0,2,2,2,11,9,10,8,6,11,17,17,8,5,2,5,0,0,0,0,0,0,0,Athletic Club
7r7wgbcu7vmlj19m9jpjhu1yi,Jesús Areso,ATH,3czravw89omgc9o4s0w3l1bg5,8,2.0,12.0,26,0,0,9,0,1,20,0,2,34,0,1,41,0,1,23,0,0,1,0,0,0,27,0,54,0,0,0,5,0,11,0,0,5,0,0,12,0,0,4,0,0,1,0,0,8,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,4,0,0,4,0,0,4,0,0,0,0,0,1,0,0,5,0,0,3,0,0,3,0,0,4,0,0,0,0,0,2,0,1,2,0,0,3,0,0,5,0,0,3,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,2,0,0,2,0,0,0,0,1,10,0,0,14,0,1,12,0,0,12,0,0,3,0,0,1,5,0,4,0,Athletic Club
