contestant_id,team_name,team_code,matches,pp_z1,pp_z2,pp_z3,pp_z4,pp_z5,pp_z6,pp_z7,pp_z8,pp_z9,pp_z10,pp_z11,pp_z12,pp_z13,pp_z14,pp_z15,pp_z16,pp_z17,pp_z18,cross_ttl_z10,cross_ttl_z12,cross_ttl_z13,cross_ttl_z15,cross_ttl_z16,cross_ttl_z18,cross_suc_z10,cross_suc_z12,cross_suc_z13,cross_suc_z15,cross_suc_z16,cross_suc_z18,to_ttl_z10,to_ttl_z11,to_ttl_z12,to_ttl_z13,to_ttl_z14,to_ttl_z15,to_ttl_z16,to_ttl_z17,to_ttl_z18,to_suc_z10,to_suc_z11,to_suc_z12,to_suc_z13,to_suc_z14,to_suc_z15,to_suc_z16,to_suc_z17,to_suc_z18,shot_z10,shot_z11,shot_z12,shot_z13,shot_z14,shot_z15,shot_z16,shot_z17,shot_z18,goal_z10,goal_z11,goal_z12,goal_z13,goal_z14,goal_z15,goal_z16,goal_z17,goal_z18,tackle_ttl_z1,tackle_ttl_z2,tackle_ttl_z3,tackle_ttl_z4,tackle_ttl_z5,tackle_ttl_z6,tackle_ttl_z7,tackle_ttl_z8,tackle_ttl_z9,tackle_ttl_z10,tackle_ttl_z11,tackle_ttl_z12,tackle_ttl_z13,tackle_ttl_z14,tackle_ttl_z15,tackle_ttl_z16,tackle_ttl_z17,tackle_ttl_z18,tackle_suc_z1,tackle_suc_z2,tackle_suc_z3,tackle_suc_z4,tackle_suc_z5,tackle_suc_z6,tackle_suc_z7,tackle_suc_z8,tackle_suc_z9,tackle_suc_z10,tackle_suc_z11,tackle_suc_z12,tackle_suc_z13,tackle_suc_z14,tackle_suc_z15,tackle_suc_z16,tackle_suc_z17,tackle_suc_z18,int_z1,int_z2,int_z3,int_z4,int_z5,int_z6,int_z7,int_z8,int_z9,int_z10,int_z11,int_z12,int_z13,int_z14,int_z15,int_z16,int_z17,int_z18,chall_z1,chall_z2,chall_z3,chall_z4,chall_z5,chall_z6,chall_z7,chall_z8,chall_z9,chall_z10,chall_z11,chall_z12,chall_z13,chall_z14,chall_z15,chall_z16,chall_z17,chall_z18,disp_z1,disp_z2,disp_z3,disp_z4,disp_z5,disp_z6,disp_z7,disp_z8,disp_z9,disp_z10,disp_z11,disp_z12,disp_z13,disp_z14,disp_z15,disp_z16,disp_z17,disp_z18,recovery_z1,recovery_z2,recovery_z3,recovery_z4,recovery_z5,recovery_z6,recovery_z7,recovery_z8,recovery_z9,recovery_z10,recovery_z11,recovery_z12,recovery_z13,recovery_z14,recovery_z15,recovery_z16,recovery_z17,recovery_z18,aerial_ttl_z2,aerial_ttl_z17,aerial_suc_z2,aerial_suc_z17,fb_start_z1,fb_start_z2,fb_start_z3,fb_start_z4,fb_start_z5,fb_start_z6,fb_start_z7,fb_start_z8,fb_start_z9,fb_start_z10,fb_start_z11,fb_start_z12,fb_start_z13,fb_start_z14,fb_start_z15,fb_start_z16,fb_start_z17,fb_start_z18,fb_seq_L,fb_seq_C,fb_seq_R,fb_goal_L,fb_goal_C,fb_goal_R
50x1m4u58lffhq6v6ga1hbxmy,Real Club Deportivo Mallorca,MLL,38,97,376,90,245,239,212,286,232,229,277,159,201,118,40,105,13,3,5,8,1,124,128,165,117,3,1,29,38,36,24,58,15,50,90,27,61,65,12,33,15,7,19,36,12,23,28,5,12,0,1,0,23,96,14,21,241,17,0,1,0,1,3,1,1,40,0,39,24,75,53,42,65,36,20,44,39,14,37,27,17,14,6,0,7,22,10,46,28,21,31,22,13,25,24,6,28,19,8,10,4,0,4,20,15,16,30,23,38,23,15,22,18,12,22,6,4,8,2,0,1,17,15,30,27,14,21,23,11,18,20,10,14,11,4,11,3,0,1,4,1,10,14,5,10,31,11,20,34,10,34,50,16,21,29,11,9,117,67,112,156,146,147,118,96,110,104,84,93,38,32,33,9,3,6,127,137,72,68,1,1,1,5,1,0,1,4,4,1,3,0,0,0,1,0,0,0,10,5,8,2,0,2
4yg9ttzw0m51048doksv8uq5r,Elche CF,ELC,38,56,441,65,200,421,203,268,330,269,287,198,239,158,82,139,11,2,12,5,2,71,70,159,178,2,1,22,14,39,35,64,36,66,85,53,64,56,16,51,27,18,27,30,19,27,18,9,11,0,0,1,24,87,12,40,229,16,0,0,0,0,7,0,1,37,2,53,20,53,69,59,81,54,34,53,35,17,54,25,16,34,8,0,9,34,7,33,41,31,54,32,22,34,28,8,33,11,9,21,5,0,7,15,25,11,38,35,36,33,12,24,23,14,17,13,6,7,0,1,0,19,20,22,25,17,22,12,10,21,21,15,16,7,7,7,3,1,0,2,3,2,15,12,9,22,12,18,36,23,26,35,35,37,13,9,20,88,74,90,152,187,170,127,130,129,91,61,86,40,33,36,6,2,9,124,103,56,54,0,0,0,3,4,3,4,5,1,0,1,1,0,1,0,0,0,0,12,5,6,3,2,0
4ku8o6uf87yd8iecdalipo6wd,Club Atlético de Madrid,ATM,38,116,352,134,215,185,224,242,274,294,229,187,283,172,118,191,17,4,21,1,1,101,110,172,176,0,1,23,24,43,39,44,28,47,62,53,74,46,28,56,23,9,21,21,22,29,14,17,18,0,3,0,21,112,13,36,284,29,0,0,0,2,5,1,1,48,1,38,12,68,63,44,88,50,32,51,42,27,41,25,21,25,6,1,13,23,8,40,32,29,54,29,17,29,19,16,30,15,13,16,4,0,10,11,9,14,32,30,33,34,14,32,25,10,24,10,4,13,0,0,2,25,12,24,32,22,38,27,14,31,28,12,25,15,12,16,4,1,3,3,1,2,16,14,14,14,15,22,27,26,19,18,36,27,14,12,26,84,68,104,138,145,177,128,121,167,103,95,97,42,40,53,10,3,8,115,139,58,68,1,1,2,0,1,6,2,5,8,4,0,2,0,0,0,0,0,1,12,2,19,1,0,7
4grc9qgcvusllap8h5j6gc5h5,Levante UD,LEV,38,79,343,92,210,171,220,205,212,275,157,119,193,111,51,119,13,2,11,2,8,84,133,123,116,1,2,19,42,31,29,44,26,45,60,37,64,47,22,37,14,12,23,23,15,24,13,13,11,1,4,0,19,126,25,24,250,24,0,0,0,1,5,3,1,36,1,52,27,35,71,40,48,49,15,60,43,30,45,23,21,22,6,1,9,38,14,16,37,21,29,36,12,35,24,16,24,16,14,14,3,0,4,9,28,9,48,35,39,21,12,35,26,15,22,11,3,10,6,0,0,20,7,17,34,28,25,21,13,32,12,10,14,16,5,13,4,0,5,0,2,1,13,6,10,26,13,20,29,24,31,32,31,33,22,7,22,89,37,74,159,150,154,132,102,120,91,70,92,46,29,51,10,0,4,157,142,85,70,1,0,1,4,12,1,7,5,6,2,1,0,0,1,0,0,0,0,14,7,20,1,0,4
4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,ALA,38,71,310,78,187,185,227,228,201,322,179,132,257,99,39,148,11,1,7,5,2,77,106,118,230,1,1,17,28,26,44,52,33,60,63,51,92,38,12,74,21,15,29,22,24,31,14,5,23,0,3,2,15,126,20,21,248,26,0,0,0,1,3,0,1,36,0,55,17,62,88,55,82,67,24,66,35,24,52,13,9,22,8,2,12,38,12,35,42,28,55,34,15,36,23,12,29,10,5,14,7,1,6,11,17,16,38,27,37,22,20,29,10,14,32,8,4,8,0,0,2,20,12,23,48,37,37,35,21,23,23,18,13,9,8,18,2,1,6,10,1,6,10,8,25,24,16,47,46,22,35,29,33,30,16,11,19,84,53,90,173,151,204,147,126,160,95,74,99,27,25,67,7,6,11,124,118,60,55,0,1,0,5,0,4,2,4,6,2,2,1,0,1,0,0,0,0,8,3,17,0,1,0
3kq9cckrnlogidldtdie2fkbl,Real Madrid CF,RMA,38,108,363,84,230,289,172,408,380,289,374,291,225,191,108,150,26,3,11,0,0,71,64,116,109,0,0,15,15,22,16,59,36,46,149,61,79,197,41,80,30,18,20,62,29,39,58,17,32,0,1,0,42,182,15,66,324,34,0,0,0,2,13,0,2,58,1,43,15,29,60,62,28,52,27,42,54,25,44,38,25,20,16,2,9,26,10,22,31,36,15,31,20,30,38,17,27,19,10,10,8,1,6,10,16,4,31,27,21,28,15,12,28,9,20,16,5,8,2,0,0,17,10,12,21,14,16,17,9,18,19,16,17,17,9,11,6,2,5,8,0,3,15,7,8,19,10,11,24,10,18,33,29,31,31,13,22,102,63,79,161,166,128,167,120,109,113,100,86,59,43,39,17,4,10,90,116,48,71,0,3,2,8,9,2,5,7,4,1,2,2,0,1,0,0,0,0,24,7,15,5,1,2
3czravw89omgc9o4s0w3l1bg5,Athletic Club,ATH,38,60,305,55,235,253,176,318,266,235,271,188,248,150,79,145,16,2,9,2,6,121,181,181,207,0,2,22,43,33,37,71,30,55,125,47,77,117,22,42,26,16,17,42,18,26,40,9,19,0,0,0,23,126,16,44,289,24,0,0,0,0,4,0,0,38,0,31,9,37,46,22,64,48,26,65,46,29,50,31,19,28,12,3,5,21,4,25,30,11,43,34,14,49,20,10,30,18,14,20,7,1,2,6,13,9,35,26,30,32,25,27,42,27,31,18,7,18,0,1,2,10,8,20,21,10,31,23,18,20,23,24,22,22,11,16,4,2,6,0,0,5,13,3,15,30,15,22,35,19,36,41,21,30,15,17,21,65,30,73,167,161,145,153,137,149,159,118,119,71,53,56,16,1,14,85,141,48,72,1,3,0,0,1,2,2,2,2,2,1,1,0,0,0,0,1,0,9,5,4,1,1,2
3budh3j9xivsid3ptm8ptpy4k,Rayo Vallecano de Madrid,RAY,38,87,464,95,209,254,189,282,244,250,182,106,182,116,49,124,4,2,12,4,7,101,103,194,164,0,4,16,21,37,36,45,21,66,37,35,88,49,11,87,21,12,31,12,18,38,16,5,32,1,6,2,26,156,39,35,229,33,0,0,0,0,4,0,0,35,2,62,22,64,59,46,74,54,38,70,44,13,55,24,6,33,7,1,13,42,10,48,39,26,41,36,19,40,21,6,34,11,4,21,3,0,11,15,12,20,38,31,34,30,17,33,25,10,30,13,1,6,0,0,0,21,11,26,33,19,38,19,29,27,20,10,18,15,8,16,2,1,5,2,3,7,13,8,19,25,10,27,30,15,33,29,11,35,17,15,22,112,70,104,190,163,171,150,128,153,114,93,106,47,31,27,8,2,12,124,95,59,46,2,3,2,6,10,3,3,5,2,4,2,3,1,0,0,0,0,0,15,10,21,0,1,3
2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,OSA,38,67,323,77,199,178,170,261,219,247,199,113,217,119,64,112,12,6,8,5,2,122,125,190,168,2,1,30,40,48,25,74,28,47,87,41,67,85,17,43,30,18,17,31,14,29,33,6,11,1,2,0,16,101,16,30,264,20,0,0,0,0,7,2,0,33,0,52,19,49,62,54,56,43,31,42,33,9,37,16,6,23,10,1,8,35,11,37,34,25,30,24,12,26,16,3,26,10,4,13,3,0,7,17,21,18,26,37,37,25,17,26,22,6,27,9,1,7,1,0,1,13,5,25,18,18,35,25,14,18,14,8,16,5,6,19,2,1,4,3,1,3,12,9,14,26,12,21,29,14,19,33,20,26,23,18,19,82,49,91,170,178,154,134,120,130,99,80,92,47,22,47,8,1,14,88,180,52,101,0,0,0,2,6,4,5,5,7,1,2,0,0,0,0,0,0,0,11,7,14,0,1,1
clo928vcczjp0mczavs5o7p5k,Real Oviedo,OVI,38,103,365,81,282,185,184,312,189,247,220,101,151,109,44,80,9,4,8,0,4,97,74,161,166,0,0,18,19,46,29,58,32,65,65,29,85,54,9,74,21,19,33,16,17,38,13,6,22,1,2,0,18,92,21,23,200,19,0,1,0,0,1,0,0,24,0,42,19,59,85,59,88,63,28,74,47,22,36,19,11,14,2,3,7,29,11,39,51,33,58,35,16,43,31,12,17,6,6,7,1,2,5,11,15,13,38,39,35,31,15,18,24,9,27,9,4,9,1,1,2,22,9,26,22,17,40,25,16,22,18,19,17,11,3,14,5,0,3,6,1,3,13,8,20,35,12,27,40,15,19,32,15,11,17,7,10,91,60,86,184,156,157,151,104,129,95,82,69,33,22,35,8,0,9,142,130,68,57,0,1,3,1,4,4,1,6,0,1,1,0,0,0,0,0,0,0,9,4,9,0,0,3
