date,match_id,url_match,home,away,home_score,away_score,matchweek
17/5/2026,3rpa9gg887sphjnou8h1uv6s4,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3rpa9gg887sphjnou8h1uv6s4,Barcelona,Betis,3,1,37
17/5/2026,3ubq4xhedh6kqvsb2d7cvw650,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3ubq4xhedh6kqvsb2d7cvw650,Sevilla,Real Madrid,0,1,37
17/5/2026,3t723gzwnzh44w0jdk8bfjdhw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3t723gzwnzh44w0jdk8bfjdhw,Real Sociedad,Valencia,3,4,37
17/5/2026,3stn5qtfq9b7w461hrsz1y0wk,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3stn5qtfq9b7w461hrsz1y0wk,Rayo,Villarreal,2,0,37
17/5/2026,3tkk80csb0shs70l1ucy03uok,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3tkk80csb0shs70l1ucy03uok,Oviedo,Alavés,0,1,37
17/5/2026,3ty1scc4fcein2b664ssgnwus,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3ty1scc4fcein2b664ssgnwus,Osasuna,Espanyol,1,2,37
17/5/2026,3sg7p1fgas9oyig0lv5gdmvis,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3sg7p1fgas9oyig0lv5gdmvis,Levante,Mallorca,2,0,37
17/5/2026,3s2q5sph3bm3auk1b8odb493o,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3s2q5sph3bm3auk1b8odb493o,Elche,Getafe,1,0,37
17/5/2026,3rbvenobhbiyu2oz1067g87x0,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3rbvenobhbiyu2oz1067g87x0,Atlético,Girona,1,0,37
17/5/2026,3qyh2orw2524xs3k60h0cxxxw,https://www.scoresway.com/en_GB/soccer/primera-divisi%C3%B3n-2025-2026/80zg2v1cuqcfhphn56u4qpyqc/match/view/3qyh2orw2524xs3k60h0cxxxw,Athletic,Celta,1,1,37
