week,match_id,team_code,Jersey Number,player_id,Team Formation,Team Player Formation,min,sec,minsec,team setp up,player on,formation change,second yellow,red card
9,t6q5ftwcnm8os0cb3stk1kic,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,17,1.0,22,30,22.5,0,0,1,0,0
10,y38fh1awgi9yuxppo1n61ous,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,85,21,85.4,1,0,0,0,0
10,y38fh1awgi9yuxppo1n61ous,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,11,47,11.8,0,0,1,0,0
11,144g7b7ez101gt3yczm0yblzo,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,100,11,100.2,1,0,0,0,0
12,16fj9cb2vp81vtnlvqdcoou1g,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,46,11,46.2,1,0,0,0,0
12,16fj9cb2vp81vtnlvqdcoou1g,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,42,19,42.3,0,0,1,0,0
12,16fj9cb2vp81vtnlvqdcoou1g,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,18,1.0,8,14,8.2,0,0,1,0,0
13,1bpdzkqykdmb75z4uarby311w,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,97,28,97.5,1,0,0,0,0
14,1dk2hnl09qux7z4fqn1qxq238,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,71,32,71.5,1,0,0,0,0
14,1dk2hnl09qux7z4fqn1qxq238,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,11,47,11.8,0,0,1,0,0
14,1dk2hnl09qux7z4fqn1qxq238,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,15,40,15.7,0,0,1,0,0
15,1it612xdkwgzafk6n7xtzy8es,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,80,30,80.5,1,0,0,0,0
15,1it612xdkwgzafk6n7xtzy8es,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,16,44,16.7,0,0,1,0,0
15,1it612xdkwgzafk6n7xtzy8es,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,1,13,1.2,0,0,1,0,0
16,1m7vig0k2tt5q9apse7108pas,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,69,59,70.0,1,0,0,0,0
16,1m7vig0k2tt5q9apse7108pas,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,29,21,29.3,0,0,1,0,0
17,1nppp2u47kuc6os6g0e21xp1w,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,77,8,77.1,1,0,0,0,0
17,1nppp2u47kuc6os6g0e21xp1w,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,4,1.0,18,52,18.9,0,0,1,0,0
18,1ts1vbi2mugv1401ifojdtqtw,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,47,53,47.9,1,0,0,0,0
18,1ts1vbi2mugv1401ifojdtqtw,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,43,50,43.8,0,0,1,0,0
18,1ts1vbi2mugv1401ifojdtqtw,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,6,1.0,6,59,7.0,0,0,1,0,0
19,1uwb3z5cnpg9o84qdcr5r2o7o,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,8,1.0,59,6,59.1,1,0,0,0,0
19,1uwb3z5cnpg9o84qdcr5r2o7o,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,8,1.0,37,30,37.5,0,0,1,0,0
20,1zkz16jzrxddg9c05edk2znys,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,57,25,57.4,1,0,0,0,0
20,1zkz16jzrxddg9c05edk2znys,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,7,1.0,26,5,26.1,0,0,1,0,0
20,1zkz16jzrxddg9c05edk2znys,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,14,54,14.9,0,0,1,0,0
21,24ggs30od6yf2dz3uyz8zjlec,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,86,9,86.2,1,0,0,0,0
21,24ggs30od6yf2dz3uyz8zjlec,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,6,1.0,13,32,13.5,0,0,1,0,0
22,29q144duutijtrpdfzof1zims,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,65,7,65.1,1,0,0,0,0
22,29q144duutijtrpdfzof1zims,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,12,3,12.0,0,0,1,0,0
22,29q144duutijtrpdfzof1zims,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,8,1.0,23,4,23.1,0,0,1,0,0
23,2cbrliiyprq7a205rp3w1qz9w,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,62,32,62.5,1,0,0,0,0
23,2cbrliiyprq7a205rp3w1qz9w,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,36,41,36.7,0,0,1,0,0
24,2h7d8ukaxlbxzfalz2jej5us4,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,49,3,49.0,1,0,0,0,0
24,2h7d8ukaxlbxzfalz2jej5us4,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,57,10,57.2,0,0,1,0,0
25,2j5gbrfdr52r652taci2oin84,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,91,40,91.7,1,0,0,0,0
25,2j5gbrfdr52r652taci2oin84,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,11,46,11.8,0,0,1,0,0
26,2of0ec1j3qlwnm140nciptixg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,63,55,63.9,1,0,0,0,0
26,2of0ec1j3qlwnm140nciptixg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,27,8,27.1,0,0,1,0,0
26,2of0ec1j3qlwnm140nciptixg,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,8,32,8.5,0,0,1,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,29,12,29.2,1,0,0,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,2,1.0,41,57,42.0,0,0,1,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,15,12,15.2,0,0,1,0,0
27,2rswicw0gb42ehlbg8gcvyjh0,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,10,1.0,19,29,19.5,0,0,1,0,0
28,2u1nsiwpvio7gzjecn4cnhq8k,ALA,1.0,c7i0lduij4vsnluxisdnaxsk5,12,1.0,80,43,80.7,1,0,0,0,0
