week,match_id,team_code,Jersey Number,player_id,Team Formation,Team Player Formation,min,sec,minsec,team setp up,player on,formation change,second yellow,red card
1,13h7obu9sa1vfh3a0esob4jdg,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,97,10,97.2,1,0,0,0,0
2,14qo3uypv7lmce0ewcvxe89w4,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,37,54,37.9,1,0,0,0,0
2,14qo3uypv7lmce0ewcvxe89w4,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,18,21,18.4,0,0,1,0,0
2,14qo3uypv7lmce0ewcvxe89w4,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,43,18,43.3,0,0,1,0,0
3,19ty1jsiu05lygxc15uw4exp0,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,99,12,99.2,1,0,0,0,0
4,1ck3f5txde110a1im9lxy0ys4,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,17,18,17.3,1,0,0,0,0
4,1ck3f5txde110a1im9lxy0ys4,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,57,41,57.7,0,0,1,0,0
4,1ck3f5txde110a1im9lxy0ys4,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,26,14,26.2,0,0,1,0,0
5,1gil6wudqtyaauvngcgucwbh0,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,50,49,50.8,1,0,0,0,0
5,1gil6wudqtyaauvngcgucwbh0,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,34,60,35.0,0,0,1,0,0
5,1gil6wudqtyaauvngcgucwbh0,ARS,1.0,4iijb6llnz28unsz4rirr3umt,8,1.0,3,41,3.7,0,0,1,0,0
5,1gil6wudqtyaauvngcgucwbh0,ARS,1.0,4iijb6llnz28unsz4rirr3umt,8,1.0,5,27,5.5,0,0,1,0,0
5,1gil6wudqtyaauvngcgucwbh0,ARS,1.0,4iijb6llnz28unsz4rirr3umt,8,1.0,8,21,8.3,0,0,1,0,0
5,1gil6wudqtyaauvngcgucwbh0,ARS,1.0,4iijb6llnz28unsz4rirr3umt,7,1.0,1,38,1.6,0,0,1,0,0
6,1mv5kukvh2gold9lzbfle86qc,ARS,1.0,4iijb6llnz28unsz4rirr3umt,8,1.0,76,38,76.6,1,0,0,0,0
6,1mv5kukvh2gold9lzbfle86qc,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,29,30,29.5,0,0,1,0,0
7,1oi3hkt91umhnxou8rk970ums,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,29,18,29.3,1,0,0,0,0
7,1oi3hkt91umhnxou8rk970ums,ARS,1.0,4iijb6llnz28unsz4rirr3umt,4,1.0,50,7,50.1,0,0,1,0,0
