team_name,team_code,Jersey Number,player_name,player_id,Short Display Name,Display Name
Athletic Club,ATH,44,Selton Sánchez,esru3us4k7xaj6hjycz78pdsk,Sánchez,S. Sánchez
Athletic Club,ATH,49,Eder García,72teeil638lx1xlg6htlkt1qs,García,E. García
Club Atlético de Madrid,ATM,1,J. Musso,7drgir9lcwfst8vxz07jboe6t,Musso,J. Musso
Club Atlético de Madrid,ATM,2,J. Giménez,548jzfl9higq44w9bgqvcjh05,Giménez,J. Giménez
Club Atlético de Madrid,ATM,3,M. Ruggeri,7mvqysbmyf6uj3jny3qpqw2ga,Ruggeri,M. Ruggeri
Club Atlético de Madrid,ATM,4,C. Gallagher,c83h08n0vnjvfgglyefy03h0p,Gallagher,C. Gallagher
Club Atlético de Madrid,ATM,4,Rodrigo Mendoza,1filh68q6hdk921qkdo7rsvmc,Mendoza,R. Mendoza
Club Atlético de Madrid,ATM,5,J. Cardoso,3ub05nnpt9o7s387z6oj8vf56,Cardoso,J. Cardoso
Club Atlético de Madrid,ATM,6,Koke,b9kfek16otvdorssn0wzkb36d,Koke,Koke
Club Atlético de Madrid,ATM,7,A. Griezmann,716n1970vi9rvw5b4w9qmjfth,Griezmann,A. Griezmann
Club Atlético de Madrid,ATM,8,Pablo Barrios,9e7ybe0nsu3byq2tteey3zuy2,Barrios,P. Barrios
Club Atlético de Madrid,ATM,9,A. Sørloth,6akzpi6rd6qq0ke07ojnhpoet,Sørloth,A. Sørloth
Club Atlético de Madrid,ATM,10,Álex Baena,5zoz3mjooujpv0wdcphyrztd6,Baena,Á. Baena
Club Atlético de Madrid,ATM,11,T. Almada,4ea0sjczqa5ah1w720zlakkfe,Almada,T. Almada
Club Atlético de Madrid,ATM,13,J. Oblak,2yt9oajv9dkbju8tgy1g2nmqd,Oblak,J. Oblak
Club Atlético de Madrid,ATM,14,Marcos Llorente,amxunh6enoc99r07cp7qt621h,Llorente,M. Llorente
Club Atlético de Madrid,ATM,15,C. Lenglet,3gsprcdyogabeb8lr2y0bmytx,Lenglet,C. Lenglet
Club Atlético de Madrid,ATM,16,N. Molina,ieu0x9fy8hpqyztdjg8bgpnt,Molina,N. Molina
Club Atlético de Madrid,ATM,17,D. Hancko,1vyh50nfaq2kq5pmivpkc1psl,Hancko,D. Hancko
Club Atlético de Madrid,ATM,18,Marc Pubill,d0kzduhj90areaill2gvvw6xg,Pubill,M. Pubill
Club Atlético de Madrid,ATM,19,J. Alvarez,9ikkuxd19avliz1khcrm82gyy,Alvarez,J. Alvarez
Club Atlético de Madrid,ATM,20,G. Simeone,5es43b4a7fv0lkmp63dj439ey,Simeone,G. Simeone
Club Atlético de Madrid,ATM,21,Javi Galán,40gxfsz7bgrkdudqewlpxzyzt,Galán,J. Galán
Club Atlético de Madrid,ATM,21,O. Vargas,q00t04zyy8idanvhpee3ubu2,Vargas,O. Vargas
Club Atlético de Madrid,ATM,22,G. Raspadori,abq67eup8kd31w8da2i0eftgp,Raspadori,G. Raspadori
Club Atlético de Madrid,ATM,22,A. Lookman,8d04q3yp2kouwog0lj0s7ew2x,Lookman,A. Lookman
Club Atlético de Madrid,ATM,23,N. González,eh1ul4duphy1iz4odwx9tkjjd,González,N. González
Club Atlético de Madrid,ATM,24,Robin Le Normand,6xulax65kp4aid70nk7g5jr2t,Le Normand,R. Le Normand
Club Atlético de Madrid,ATM,27,Jano Monserrate,2hgczqjd0r748ye3zmqm0am1g,Monserrate,J. Monserrate
Club Atlético de Madrid,ATM,28,Taufik Seidu,17qer12owcsluo5djhufxa8es,Seidu,T. Seidu
Club Atlético de Madrid,ATM,29,Rayane Belaid,6dswrjvnakdr8gwun530inwgk,Belaid,R. Belaid
Club Atlético de Madrid,ATM,30,Dani Martínez,51qvkjhgmbxersyfxzb8en1n8,Martínez,D. Martínez
Club Atlético de Madrid,ATM,32,Javier Boñar,6m5v97if055boykubm2hq8es,Boñar,J. Boñar
Club Atlético de Madrid,ATM,34,Julio Díaz,9mh4ven84dualv113vxinqn10,Díaz,J. Díaz
Club Atlético de Madrid,ATM,37,Iker Luque,a9olh86vdqnby3hz8ibwfq784,Luque,I. Luque
Club Atlético de Madrid,ATM,40,A. Puric,6wdf76fgg6h13ybmzeye3io7o,Puric,A. Puric
Club Atlético de Madrid,ATM,47,Javier Morcillo,8921la7pznfjc4e69ul2pqmms,Morcillo,J. Morcillo
Club Atlético de Madrid,ATM,61,Cubo,1nhb64ca6p3nxejefcu4i5n2s,Cubo,Cubo
FC Barcelona,BAR,2,João Cancelo,29pq64smaxdwlraopnxoleqxh,Cancelo,J. Cancelo
FC Barcelona,BAR,3,Alejandro Balde,bzgh5psb1janz9y3btpswngbu,Balde,A. Balde
FC Barcelona,BAR,4,R. Araujo,awsod0zmnrukk21d4882ji7e1,Araujo,R. Araujo
FC Barcelona,BAR,5,Pau Cubarsí,bkwxem45cf48k14euwqe7rs44,Cubarsí,P. Cubarsí
FC Barcelona,BAR,6,Gavi,eb3ci3a120om80v80mobsus8a,Gavi,Gavi
FC Barcelona,BAR,7,Ferran Torres,2szgrzcosfeifh664tgt3mfvt,Ferran,F. Torres
FC Barcelona,BAR,8,Pedri,4ftlhtels58lyzfluwofzwxuy,Pedri,Pedri
FC Barcelona,BAR,9,R. Lewandowski,afxjicw89683nlpms9yy5x51x,Lewandowski,R. Lewandowski
FC Barcelona,BAR,10,Lamine Yamal,abr79wsl0folgkyvl821ggs2c,Lamine Yamal,Lamine Yamal
FC Barcelona,BAR,11,Raphinha,2wl6h1rlrfnn2mr65vuo3t815,Raphinha,Raphinha
FC Barcelona,BAR,13,Joan García,5f8kjgsaabn2li5r7bvpebbsa,García,J. García
FC Barcelona,BAR,14,M. Rashford,604osk9a3lxpfpkavuziqmn6x,Rashford,M. Rashford
FC Barcelona,BAR,15,A. Christensen,1av9mmv19jwvc4xdr0p9owyxh,Christensen,A. Christensen
FC Barcelona,BAR,16,Fermín López,cjll1xrw3xulnl23c9tlf6rys,F. López,F. López
FC Barcelona,BAR,17,Marc Casadó,3hht0os2uzu234yq550i3fbe2,Casadó,M. Casadó
FC Barcelona,BAR,18,Gerard Martín,6l1y87tlepsvr83d8y2qifeqy,Martín,G. Martín
FC Barcelona,BAR,19,R. Bardghji,66psa7xh8odnlp39ue5vzpes4,Bardghji,R. Bardghji
FC Barcelona,BAR,20,Dani Olmo,4gq1u1mqg0qzekh1u5djleeax,Olmo,D. Olmo
