contestant_id,team_name,team_code,matches,points,win,draw,loss,goals_for,goals_against,goal_difference,clean_sheet,passes,passes_completed,progressive_passes,progressive_passes_opp_half,progressive_take_ons,shots,shots_on_target,fast_break_seq,fast_break_shots_on_target,fast_break_goals,corners,offsides,tackles,interceptions,clearances,saves,fouls_committed,fouls_won,yellow_cards,red_cards,gk_short,gk_long,crosses_wide,crosses_hs,ball_recoveries,def_actions,corners_taken,corners_left,corners_right,corners_inswing,corners_outswing,corners_short,corners_six_yard_box,corners_penalty_spot,corners_front_post,corners_far_post,corners_edge_of_box,fk_taken,fk_inswing,fk_outswing,fk_direct_shots,fk_crosses_box,throwins_taken,throwins_left,throwins_right,throwins_box,sp_direct_to_shot,sp_direct_to_goal,pass_accuracy_pct,shot_accuracy_pct,goals_per_match,ppda,sp_sequence_to_shot,sp_sequence_to_goal
c8llrezkm3b3op4afrou6b487,Reial Club Deportiu Espanyol de Barcelona,ESP,38,46,12,10,16,43,55,-12,10,14906,11304,2717,1719,64,482,282,33,23,5,362,70,611,318,977,284,524,489,92,5,398,620,370,366,1434,3963,178,106,72,80,80,26,32,74,34,11,1,514,27,35,0,131,715,380,335,70,64,5,75.8,58.5,1.13,11.62,79,5
3czravw89omgc9o4s0w3l1bg5,Athletic Club,ATH,38,45,13,6,19,43,58,-15,6,17464,13535,3011,2039,73,523,322,18,15,4,366,52,571,349,838,173,520,410,77,8,472,663,428,522,1687,4124,219,112,107,82,88,61,36,78,33,10,1,521,27,21,0,99,808,443,365,44,45,1,77.5,61.6,1.13,9.48,65,4
4yg9ttzw0m51048doksv8uq5r,Elche CF,ELC,38,43,10,13,15,49,57,-8,8,20381,17085,3381,2129,85,410,246,23,12,5,318,59,674,310,898,260,507,570,86,8,1019,601,344,365,1511,4020,144,66,78,44,30,72,20,31,13,5,3,621,24,22,0,94,679,369,310,34,29,1,83.8,60.0,1.29,9.33,58,2
4dtdjgnpdq9uw4sdutti0vaar,Deportivo Alavés,ALA,38,43,11,10,17,44,56,-12,5,17005,13289,2682,1848,72,464,278,28,15,1,387,74,693,295,932,234,567,514,93,5,242,785,346,312,1599,4310,192,125,67,66,97,35,24,78,42,12,1,546,34,20,0,92,759,420,339,22,52,4,78.1,59.9,1.16,10.8,66,5
10eyb18v5puw4ez03ocaug09m,Sevilla FC,SEV,38,43,12,7,19,46,60,-14,6,16912,13380,2682,1780,88,437,267,36,22,6,356,102,687,326,951,204,561,489,111,7,456,531,339,361,1573,4173,182,94,88,87,66,36,24,86,23,13,0,496,33,30,0,73,730,385,345,76,48,2,79.1,61.1,1.21,10.34,67,4
2l0ldgiwsgb8d6y3z0sfgjzyj,CA Osasuna,OSA,38,42,11,9,18,44,50,-6,7,16378,12770,2591,1708,80,450,268,32,20,2,326,51,551,298,1043,233,512,442,96,7,540,454,413,376,1518,3822,142,71,71,57,62,29,16,68,18,8,3,484,20,38,0,94,724,362,362,94,49,4,78.0,59.6,1.16,11.85,63,6
50x1m4u58lffhq6v6ga1hbxmy,Real Club Deportivo Mallorca,MLL,38,42,11,9,18,47,57,-10,6,16641,13167,2927,1837,81,415,246,23,16,4,383,50,559,275,1149,271,467,469,84,5,510,516,365,314,1471,3775,140,72,68,58,69,14,21,71,19,14,1,507,22,35,0,93,702,322,380,40,46,3,79.1,59.3,1.24,11.5,57,5
4grc9qgcvusllap8h5j6gc5h5,Levante UD,LEV,38,42,11,9,18,47,61,-14,9,15023,11594,2583,1644,63,479,293,41,26,5,388,59,597,329,1055,283,466,496,94,5,589,511,304,353,1410,3831,162,80,82,96,35,39,35,52,28,8,0,527,19,50,0,113,651,335,316,80,50,7,77.2,61.2,1.24,11.5,72,8
7h7eg7q7dbwvzww78h9d5eh0h,Girona FC,GIR,38,41,9,14,15,39,55,-16,6,19130,16070,2965,1678,96,426,285,31,18,3,357,73,588,293,993,257,408,541,79,7,664,469,276,441,1523,3859,159,72,87,64,53,48,26,51,19,11,4,574,30,20,0,61,622,328,294,9,32,1,84.0,66.9,1.03,12.25,46,3
clo928vcczjp0mczavs5o7p5k,Real Oviedo,OVI,38,29,6,11,21,26,60,-34,10,16339,13037,2674,1622,97,377,208,22,18,3,363,78,678,301,1077,303,474,443,84,10,530,629,327,302,1471,3942,150,71,79,74,35,44,28,57,15,5,1,474,20,15,0,70,716,314,402,30,41,3,79.8,55.2,0.68,12.02,56,8
